"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","responses","block","stim_onset","match_type","image_category","sound_category","audio_type","phase","correct"
"null","Sounds/gun_label.wav","null","audio-keyboard-response","519","553211","0.0-13.0-0.17","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","520","554206","0.0-13.0-1.17","longtest","","2","","","","","","",""
"null","Images/train_orig.png","null","image-keyboard-response","521","554459","0.0-13.0-2.17","longtest","","2","1580682901359","non-match","train","gun","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","522","556462","0.0-13.0-3.17","longtest","","2","","","","","","",""
"null","Sounds/gun_sound.wav","null","audio-keyboard-response","523","557031","0.0-13.0-0.18","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","524","558039","0.0-13.0-1.18","longtest","","2","","","","","","",""
"null","Images/gun_cartoon.png","null","image-keyboard-response","525","558293","0.0-13.0-2.18","longtest","","2","1580682905192","match","gun","gun","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","526","560295","0.0-13.0-3.18","longtest","","2","","","","","","",""
"null","Sounds/frog_label.wav","null","audio-keyboard-response","527","561191","0.0-13.0-0.19","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","528","562189","0.0-13.0-1.19","longtest","","2","","","","","","",""
"null","Images/motorcycle_3.png","null","image-keyboard-response","529","562441","0.0-13.0-2.19","longtest","","2","1580682909342","non-match","motorcycle","frog","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","530","564446","0.0-13.0-3.19","longtest","","2","","","","","","",""
"null","Sounds/frog_label.wav","null","audio-keyboard-response","531","565311","0.0-13.0-0.20","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","532","566306","0.0-13.0-1.20","longtest","","2","","","","","","",""
"null","Images/cow_cartoon.png","null","image-keyboard-response","533","566559","0.0-13.0-2.20","longtest","","2","1580682913459","non-match","cow","frog","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","534","568563","0.0-13.0-3.20","longtest","","2","","","","","","",""
"null","Sounds/whistle_label.wav","null","audio-keyboard-response","535","569271","0.0-13.0-0.21","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","536","570273","0.0-13.0-1.21","longtest","","2","","","","","","",""
"null","Images/whistle_1.png","null","image-keyboard-response","537","570525","0.0-13.0-2.21","longtest","","2","1580682917426","match","whistle","whistle","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","538","572542","0.0-13.0-3.21","longtest","","2","","","","","","",""
"null","Sounds/car_sound.wav","null","audio-keyboard-response","539","573611","0.0-13.0-0.22","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","540","574606","0.0-13.0-1.22","longtest","","2","","","","","","",""
"null","Images/car_cartoon.png","null","image-keyboard-response","541","574859","0.0-13.0-2.22","longtest","","2","1580682921759","match","car","car","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","542","576872","0.0-13.0-3.22","longtest","","2","","","","","","",""
"null","Sounds/motorcycle_label.wav","null","audio-keyboard-response","543","577991","0.0-13.0-0.23","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","544","578989","0.0-13.0-1.23","longtest","","2","","","","","","",""
"null","Images/motorcycle_orig.png","null","image-keyboard-response","545","579243","0.0-13.0-2.23","longtest","","2","1580682926143","match","motorcycle","motorcycle","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","546","581246","0.0-13.0-3.23","longtest","","2","","","","","","",""
"null","Sounds/frog_sound.wav","null","audio-keyboard-response","547","582151","0.0-13.0-0.24","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","548","583156","0.0-13.0-1.24","longtest","","2","","","","","","",""
"null","Images/frog_orig.png","null","image-keyboard-response","549","583409","0.0-13.0-2.24","longtest","","2","1580682930309","match","frog","frog","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","550","585422","0.0-13.0-3.24","longtest","","2","","","","","","",""
"null","Sounds/rooster_sound.wav","null","audio-keyboard-response","551","586131","0.0-13.0-0.25","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","552","587140","0.0-13.0-1.25","longtest","","2","","","","","","",""
"null","Images/dog_1.png","null","image-keyboard-response","553","587393","0.0-13.0-2.25","longtest","","2","1580682934293","non-match","dog","rooster","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","554","589411","0.0-13.0-3.25","longtest","","2","","","","","","",""
"null","Sounds/rooster_label.wav","null","audio-keyboard-response","555","590111","0.0-13.0-0.26","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","556","591106","0.0-13.0-1.26","longtest","","2","","","","","","",""
"null","Images/train_2.png","null","image-keyboard-response","557","591360","0.0-13.0-2.26","longtest","","2","1580682938259","non-match","train","rooster","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","558","593377","0.0-13.0-3.26","longtest","","2","","","","","","",""
"null","Sounds/frog_label.wav","null","audio-keyboard-response","559","594271","0.0-13.0-0.27","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","560","595273","0.0-13.0-1.27","longtest","","2","","","","","","",""
"null","Images/frog_3.png","null","image-keyboard-response","561","595527","0.0-13.0-2.27","longtest","","2","1580682942426","match","frog","frog","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","562","597544","0.0-13.0-3.27","longtest","","2","","","","","","",""
"null","Sounds/frog_label.wav","null","audio-keyboard-response","563","598411","0.0-13.0-0.28","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","564","599407","0.0-13.0-1.28","longtest","","2","","","","","","",""
"null","Images/rooster_orig.png","null","image-keyboard-response","565","599660","0.0-13.0-2.28","longtest","","2","1580682946560","non-match","rooster","frog","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","566","601664","0.0-13.0-3.28","longtest","","2","","","","","","",""
"null","Sounds/rooster_label.wav","null","audio-keyboard-response","567","602331","0.0-13.0-0.29","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","568","603340","0.0-13.0-1.29","longtest","","2","","","","","","",""
"null","Images/rooster_1.png","null","image-keyboard-response","569","603593","0.0-13.0-2.29","longtest","","2","1580682950493","match","rooster","rooster","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","570","605611","0.0-13.0-3.29","longtest","","2","","","","","","",""
"null","Sounds/whistle_sound.wav","null","audio-keyboard-response","571","606311","0.0-13.0-0.30","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","572","607307","0.0-13.0-1.30","longtest","","2","","","","","","",""
"null","Images/whistle_2.png","null","image-keyboard-response","573","607561","0.0-13.0-2.30","longtest","","2","1580682954460","match","whistle","whistle","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","574","609579","0.0-13.0-3.30","longtest","","2","","","","","","",""
"null","Sounds/dog_sound.wav","null","audio-keyboard-response","575","610291","0.0-13.0-0.31","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","576","611290","0.0-13.0-1.31","longtest","","2","","","","","","",""
"null","Images/gun_3.png","null","image-keyboard-response","577","611543","0.0-13.0-2.31","longtest","","2","1580682958443","non-match","gun","dog","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","578","613548","0.0-13.0-3.31","longtest","","2","","","","","","",""
"null","Sounds/train_sound.wav","null","audio-keyboard-response","579","614851","0.0-13.0-0.32","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","580","615857","0.0-13.0-1.32","longtest","","2","","","","","","",""
"null","Images/motorcycle_1.png","null","image-keyboard-response","581","616110","0.0-13.0-2.32","longtest","","2","1580682963010","non-match","motorcycle","train","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","582","618128","0.0-13.0-3.32","longtest","","2","","","","","","",""
"null","Sounds/dog_label.wav","null","audio-keyboard-response","583","618791","0.0-13.0-0.33","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","584","619790","0.0-13.0-1.33","longtest","","2","","","","","","",""
"null","Images/car_cartoon.png","null","image-keyboard-response","585","620044","0.0-13.0-2.33","longtest","","2","1580682966944","non-match","car","dog","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","586","622046","0.0-13.0-3.33","longtest","","2","","","","","","",""
"null","Sounds/car_label.wav","null","audio-keyboard-response","587","623131","0.0-13.0-0.34","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","588","624140","0.0-13.0-1.34","longtest","","2","","","","","","",""
"null","Images/car_2.png","null","image-keyboard-response","589","624394","0.0-13.0-2.34","longtest","","2","1580682971293","match","car","car","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","590","626412","0.0-13.0-3.34","longtest","","2","","","","","","",""
"null","Sounds/car_sound.wav","null","audio-keyboard-response","591","627491","0.0-13.0-0.35","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","592","628490","0.0-13.0-1.35","longtest","","2","","","","","","",""
"null","Images/frog_1.png","null","image-keyboard-response","593","628744","0.0-13.0-2.35","longtest","","2","1580682975644","non-match","frog","car","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","594","630761","0.0-13.0-3.35","longtest","","2","","","","","","",""
"null","Sounds/cat_label.wav","null","audio-keyboard-response","595","631591","0.0-13.0-0.36","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","596","632590","0.0-13.0-1.36","longtest","","2","","","","","","",""
"null","Images/motorcycle_cartoon.png","null","image-keyboard-response","597","632844","0.0-13.0-2.36","longtest","","2","1580682979744","non-match","motorcycle","cat","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","598","634862","0.0-13.0-3.36","longtest","","2","","","","","","",""
"null","Sounds/car_sound.wav","null","audio-keyboard-response","599","635911","0.0-13.0-0.37","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","600","636907","0.0-13.0-1.37","longtest","","2","","","","","","",""
"null","Images/motorcycle_2.png","null","image-keyboard-response","601","637160","0.0-13.0-2.37","longtest","","2","1580682984060","non-match","motorcycle","car","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","602","639173","0.0-13.0-3.37","longtest","","2","","","","","","",""
"null","Sounds/train_sound.wav","null","audio-keyboard-response","603","640471","0.0-13.0-0.38","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","604","641474","0.0-13.0-1.38","longtest","","2","","","","","","",""
"null","Images/car_3.png","null","image-keyboard-response","605","641727","0.0-13.0-2.38","longtest","","2","1580682988627","non-match","car","train","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","606","643744","0.0-13.0-3.38","longtest","","2","","","","","","",""
"null","Sounds/frog_label.wav","null","audio-keyboard-response","607","644651","0.0-13.0-0.39","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","608","645657","0.0-13.0-1.39","longtest","","2","","","","","","",""
